,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
TLT_daily_return,-0.032700111812712075,-0.05778985639448715,-0.13729885366409772,-0.020580653466800512,-0.02859817616366682,0.0429340795281744,-0.014030465098890688,-0.09430928646055475
GLD_daily_return,-0.004477694519795294,0.0116405920845154,0.013420709172159317,0.012596743693148671,-0.062274073791837026,0.1587946579464956,-0.09116390942690418,-0.12909989490221058
HYG_daily_return,0.030756630467979718,0.09807524276656843,0.1779805521535736,-0.007091914221265309,-0.0026045927407600533,0.004216472398618165,2.8031803582163894e-05,-0.003326255353506724
UUP_daily_return,-0.014993830602947456,-0.0419023327539263,-0.07439048156378358,-0.010349344406724546,0.05475556672719642,-0.14212980232823152,0.07064816922192262,0.09203056611720177
IWM_daily_return,0.03923857416367721,0.10580742478701999,0.2253080188222002,-0.004287895344232184,0.018705369369485567,-0.022601357437727482,0.008845831984659096,0.0053956530426987614
USO_daily_return,0.036531879351745886,0.07801132343062084,0.14119198277099515,0.003875617263386838,-0.026317799537645237,0.06972098464225795,-0.011225458148746773,-0.006578689523327297
XLF_daily_return,0.03603958128655988,0.09298162857748864,0.20605500239493751,-0.007696736572433638,0.02611493715973423,-0.033344985620251455,0.007513980130445921,0.014315752179947044
XLE_daily_return,0.03572304242531111,0.10506246108271036,0.21936515029738698,0.0036917642158504904,0.000922223450776527,0.020256054639033294,-0.0018155862152417768,-0.010990775623748283
^VIX_daily_return,-0.02449099814072229,-0.09056779663346795,-0.19500406394009334,0.005995075743300049,-0.014100960212227232,0.029400053638732493,-0.028407742846574657,-0.005482808365245478
SPY_mean_return_7_day/4window_return,0.003932567706798329,-0.006303122187981745,-0.00044149393298488406,0.002682325620648407,-0.011098717520426266,-0.0064223876404464475,0.005063677477829626,-0.003351454024143774
TLT_mean_return_7_day/4window_return,-0.0014930057392173932,0.0031431658416832048,0.003036511609607332,-0.00257172277081634,-0.0075539996308348345,-0.0018069056520787635,0.002242356339632323,0.007227933162982869
TLT_return_delta_7_day,-0.0096112350746425,-0.042634260864957606,-0.12975819915957643,-0.0030157916501195,-0.031401347824965065,0.015006371149721281,-0.01876850389961701,-0.05337888692484061
GLD_mean_return_7_day/4window_return,0.0037709217916790114,0.004736699160024935,0.000954833797865418,0.009918648721145703,0.005458965958383133,0.006660380740511784,-0.006296889275522827,-0.01735345709114312
GLD_return_delta_7_day,-0.0014077492961828623,0.0004919581697050096,0.012450622288686786,0.006645353307544641,-0.02370613790104731,0.08901041851907632,-0.0600071405219502,-0.11079968139369564
QQQ_mean_return_7_day/4window_return,-0.0008441526188524948,0.004103055208216592,0.002001861732495236,-0.002766275730286796,0.002980426406122283,-0.004525808705107354,0.008977031145398662,-0.007015588039716261
QQQ_return_delta_7_day,0.01376013101744346,0.06743025417538524,0.21346251508395145,-0.0002830793502002125,0.041282760337504665,0.003333678483753884,0.00702661099213342,0.00471145768932682
HYG_mean_return_7_day/4window_return,-0.0010968998910243259,-0.0004239278337059608,0.001317797404269072,-0.014085543086083948,0.01797688118192631,-0.014821566738584285,-0.002856567774451979,-0.01765805206760032
HYG_return_delta_7_day,0.012756045100590098,0.0617941655377132,0.17949799862437835,-0.0007853868232648858,0.02468095390206186,0.014446281613744347,-0.0021400692553542044,-0.0028055671922044972
UUP_mean_return_7_day/4window_return,0.0016765158452706115,-0.005691143119724016,0.0007647929541164557,0.010199113071501996,-0.0018845700891209813,0.009262558459851316,-0.01168144659032936,0.008630461911971296
UUP_return_delta_7_day,-0.0032064548160107846,-0.022837619283407145,-0.07940797925597226,-0.00421029663495218,0.009598923252783791,-0.08822932377601082,0.05498150434647143,0.09180245111530339
IWM_mean_return_7_day/4window_return,0.0024058536416298746,-0.0033913551874428663,-0.007393410902711263,-0.0026489700604553756,-0.01656549956049102,-0.00564804946348538,0.0036661098581983534,0.011046498992790282
IWM_return_delta_7_day,0.014303147730958202,0.06981461538954888,0.22234694201425564,-0.0006429326253985408,0.04248811359418114,0.007469053526789557,0.004516353807755361,0.005661974079808737
USO_mean_return_7_day/4window_return,0.0026677166917668626,-0.0021528180521025175,0.004559385353164757,-0.008437221147318761,-0.007152996845065831,-0.008010551387273112,0.010095459375565026,0.024475783982120268
USO_return_delta_7_day,0.009605066169234195,0.04904369950272719,0.14352147816993166,0.00275523045000782,0.006657297825859326,0.054672928210420454,-0.022365753198115824,-0.03249176161062169
XLF_mean_return_7_day/4window_return,0.00030463350631539977,-0.008655075091225834,-0.0049723825341278505,0.005531080562236648,-0.016335657333635217,-0.016895840102727062,0.012474139188943953,0.0006236325936314877
XLF_return_delta_7_day,0.015491997340279232,0.0662595766928463,0.2030447933579541,-0.000501775553786399,0.03875421936036681,-0.0020782413887156536,0.009519303609757956,0.01632532696433119
XLE_mean_return_7_day/4window_return,-0.007713669528392852,-0.0024271505248729596,-0.003865711792120647,0.01779977894142852,-0.013540879873751905,-0.00637613487277435,0.0012459196480861974,0.001972359309283755
XLE_return_delta_7_day,0.014038363848259575,0.06781969515374382,0.2156085557415352,0.0016663114377448171,0.033112849420654775,0.032541029461133214,-0.008659446390870462,-0.017934766253857752
^VIX_mean_return_7_day/4window_return,0.008332295932731082,-0.005766609327275235,-0.008617980492973083,-0.007634833666271586,0.00982933603312662,-0.01881465750698149,0.007389515385399004,0.010155237203430218
^VIX_return_delta_7_day,-0.010655612224290385,-0.05871886732301432,-0.18439483990549702,0.00253844498664845,-0.03452461060102736,5.6322320472058105e-05,-0.011147194567730065,-0.006790016685688767
SPY_vol_adjusted_mean_21_day,0.13863426019010158,0.09558105276080232,-0.044353850200395506,-0.02067974142482503,-0.0910530402192229,-0.14186461083717447,-0.038990387461200635,-0.11159540839252226
TLT_ewm_return_21_day,-0.10002150635398614,-0.041225626510904945,-0.013943111360558536,-0.08373217292767454,-0.011698294662537844,0.10959072499430267,0.024751225554777795,-0.1887063478385594
TLT_rolling_vol_21_day,-0.11656975081457334,0.0946959810469386,-0.01823016817899541,0.13347584414883618,-0.03143675349988594,-0.03180066548856873,-0.0864635432302426,0.03103936117820366
TLT_vol_adjusted_mean_21_day,-0.08566836043293867,-0.04133002175549287,0.01793347444818594,-0.10589000178610247,-0.008198119125078961,0.12259897496848668,0.0565965507680137,-0.15937785180194783
GLD_ewm_return_21_day,-0.02152273694266579,0.04118067763499669,-0.007657925789876561,0.018689689616707934,-0.15724594404965558,0.26486500345180025,-0.11356595144186792,-0.05236443634396714
GLD_rolling_vol_21_day,-0.1157863706760207,0.022202256478501377,0.020808249987127037,0.1871062795604805,-0.056819003312581814,-0.09915642885852331,0.02362421399429528,0.01656431784453847
GLD_vol_adjusted_mean_21_day,-0.022368686937148462,0.042906711106113625,-0.016706777183653706,0.0016833056829391071,-0.1491827385732942,0.25810479628468086,-0.10153762173963227,-0.019589863995576964
